vendor,model,cpu_vendor,cpu,os,kernel,node_version,jobs,time
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 5 PRO 4650U,Fedora 38,6.3.7,v20.3.0,14,28:44
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 5 PRO 4650U,Fedora 38,6.3.7,v20.3.0,8,31:04
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 5 PRO 4650U,Fedora 38,6.3.7,v20.3.0,10,30:08
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 5 PRO 4650U,Fedora 38,6.3.7,v20.3.0,12,29:05
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 5 PRO 4650U,Fedora 38,6.3.6,v20.3.0,14,29:06
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 5 PRO 4650U,Fedora 38,6.3.6,v20.3.0,14,29:07
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 5 PRO 4650U,Fedora 38,6.3.6,v20.3.0,14,29:35
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 5 PRO 4650U,Fedora 38,6.3.6,v20.3.0,16,29:12
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 5 PRO 4650U,Fedora 38,6.2.13,v20.3.0,15,26:44
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 5 PRO 4650U,Rocky Linux 9.2,5.14.0,v20.3.0,14,29:15
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 7 PRO 4750U,Rocky Linux 9.2,5.14.0,v20.3.0,18,25:07
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 7 PRO 4750U,PopOS 22.04,6.2.6,v20.3.0,10,26:23
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 7 PRO 4750U,PopOS 22.04,6.2.6,v20.3.0,11,26:06
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 7 PRO 4750U,PopOS 22.04,6.2.6,v20.3.0,12,25:53
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 7 PRO 4750U,PopOS 22.04,6.2.6,v20.3.0,13,25:20
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 7 PRO 4750U,PopOS 22.04,6.2.6,v20.3.0,14,25:20
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 7 PRO 4750U,PopOS 22.04,6.2.6,v20.3.0,15,25:07
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 7 PRO 4750U,PopOS 22.04,6.2.6,v20.3.0,16,24:07
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 7 PRO 4750U,PopOS 22.04,6.2.6,v20.3.0,16,24:06
Lenovo,Thinkpad T14s Gen 1,AMD,Ryzen 7 PRO 4750U,PopOS 22.04,6.2.6,v20.3.0,17,24:32
